,Name,Notes,Quote,Quality,Type,DPS,Magazine Size,Ammo Capacity,Damage,"Fire
Rate",Reload Time,Shot Speed,Range,Force,Spread,"Collapse
Class",
./img/menu_weapons/Makeshift Cannon,Makeshift Cannon,Fires a single blast that deals a large amount of damage.,You Only Get One Shot,S,Charged,571.0,1,1,1213.3 (approx),0.50,2.1,35,"1,000",60,6,SILLY,
./img/menu_weapons/AU Gun,AU Gun,Fires a single powerful bullet.,Some Assembly Required,S,Semiautomatic,80.0,1,22,100,0.20,1.2,25,"1,000",10,0,PISTOL,
./img/menu_weapons/BSG,BSG,Slowly charges up to fire a large high-damage projectile.,Big Shooty Gun,S,Charged,47.5,1,25,50,4.00,2.4,25,"1,000",10,0,EXPLOSIVE,
./img/menu_weapons/Railgun,Railgun,Fires a fast-moving piercing bullet that bounces many times.,Calibrating,S,Charged,27.0-243.2,1,40,50,N/A,0.6,250,"1,000",50,0,CHARGE,
./img/menu_weapons/Composite Gun,Composite Gun,Charged shot consumes all ammo in magazine and will activate a blank effect when it hits a wall.,Undetectable,S,Charged,100.0,2,50,"Uncharged: 40
Charged: 100",0.20,0.6,25,"1,000",10,0,PISTOL,
./img/menu_weapons/Gilded Hydra,Gilded Hydra,"Fires a large burst of piercing, bouncing bullets. Clip size is increased by 1 for each half heart the player is missing, and healing decreases clip size.",Heads Up!,S,Semiautomatic,30.0-83.3,1,50,60 (7.5x8),0.40,2.0,23,15,30,0,SHOTGUN,
./img/menu_weapons/Particulator,Particulator,"Fires a large bullet, which will split into 10 bullets which seek out enemies.",Strange Matter,S,Semiautomatic,41.6,1,60,"Large: 30
Small: 7",0.70,2.4,10,10,8,0,SILLY,
./img/menu_weapons/Yari Launcher,Yari Launcher,Rapidly fires homing rockets. Bypasses the boss DPS cap.,Hell. Yes.,S,Automatic,221.2,20,140,10 (impact) + 15 (explosion),0.04,1.5,10,90,30,45,EXPLOSIVE,
./img/menu_weapons/Dark Marker,Dark Marker,Charge shot consumes the entire clip to create a room-wide explosion and blank effect.,Big Bang,S,Semiautomatic,38.6,12,200,"Bullets: 8
Explosion: 80",0.20,2.0,32,"1,000",20,0,EXPLOSIVE,
./img/menu_weapons/Strafe Gun,Strafe Gun,Fires nails that explode upon releasing the trigger.,Bleeding Edge Gameplay,S,Automatic,46.5,20,400,"Impact: 1
Explosion: 8",0.13,1.4,500,?,?,?,FULLAUTO,
./img/menu_weapons/AKEY-47,AKEY-47,"Opening a locked chest or door with the gun equipped opens it for free. Alternatively, shooting a locked chest or door unlocks it.",Unlocked And Loaded!,S,Automatic,44.7,30,500,5.5,0.11,0.6,23,"1,000",9,4,SILLY,
./img/menu_weapons/Patriot,Patriot,"Fires piercing bullets.
Fire rate increases rapidly as the trigger is held.",Gun Eater,S,Automatic,69.0,100,500,7,0.30,1.0,30,"1,000",15,1,FULLAUTO,
./img/menu_weapons/Fightsabre,Fightsabre,"Reloading swings the gun around, reflecting nearby bullets. Increases curse by 2.",Heresy,S,Automatic,29.4,25,500,6,0.15,1.5,23,50,10,8,FULLAUTO,
./img/menu_weapons/Disintegrator,Disintegrator,Fires a large laser after a long charge-up.,Return To Dust,S,Beam,70.0,500,500,70/s,0.10,N/A,120,50,0,0,BEAM,
./img/menu_weapons/High Dragunfire,High Dragunfire,Rare variant of the Dragunfire.,Pre-Rendered,S,Automatic,?,30,600,5,0.05,1.6,25,1000,27,7,FULLAUTO,
./img/menu_weapons/Gungine,Gungine,Greatly increases movement speed while held. Reloading clears nearby goop and refills the gun's ammo. Gets fire immune while held.,12 Cylinder,S,Automatic,80.6,100,800,5,0.05,1.14,35,"1,000",15,6,FULLAUTO,
./img/menu_weapons/Mourning Star,Mourning Star,Calls down a controllable orbital laser.,Satellite Rain,S,Beam,110.0,800,800,~110/s,0.3,?,?,?,?,?,SILLY,
./img/menu_weapons/Vulcan Cannon,Vulcan Cannon,,Boundless Slaughter,S,Automatic,100.0,900,900,5,0.05,0.6,35,"1,000",15,12,FULLAUTO,
./img/menu_weapons/Elimentaler,Elimentaler,"Encases enemies in cheese, freezing them. Enemies that die while cheesed spawn a large cheese pool, which cheeses any enemies that step in it.",Full of Holes,S,Semiautomatic,29.0,15,∞,"Cheese ball: 5.5
Pointy cheese: 8
Cheese wheel: 15",0.22,1.2,23,"1,000",9,0,PISTOL,
./img/menu_weapons/Gunther,Gunther,Cannot be used to reveal hidden walls. Grows stronger with each room cleared.,Jealous Weapon,S,Semiautomatic,34.6-69.2,15,∞,"First Stage: 6
Second Stage: 9
Third Stage: 12",0.10,1.2,16,50,20,10,PISTOL,
./img/menu_weapons/Grasschopper,Grasschopper,Fires a single powerful blast that releases a small blank effect.,Noisy,A,Semiautomatic,20.0,1,30,20 (impact) + 20 (explosion),0.07,2.0,36,18,22,5,EXPLOSIVE,
